MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,198308,229.957,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198309,195.604,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198310,182.931,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198311,182.949,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198312,212.319,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198313,2310.285,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198401,216.632,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198402,189.564,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198403,200.107,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198404,181.084,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198405,192.217,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198406,209.648,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198407,221.245,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198408,229.296,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198409,195.198,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198410,190.936,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198411,190.38,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198412,199.996,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198413,2416.304,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198501,227.856,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198502,198.242,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198503,194.97,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198504,184.877,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198505,196.79,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198506,205.363,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198507,226.722,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198508,226.05,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198509,202.499,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198510,194.789,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198511,192.427,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198512,219.255,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198513,2469.841,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198601,217.47,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198602,192.336,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198603,196.834,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198604,186.074,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198605,197.315,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198606,215.015,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
